50
Grendel Blackwood
Larc Dred
Smoky Panther
Seren Malum
Max White
Theodor Aimes
Sephiran Le Doux
Cyran Cromwell
Kaige Chainsaw
Belzebob Naxxremis
Nash Christian
Crimson Kobe
Alabaster Diablos
Balo Cromwell
Sabre Malum
Granite Wyrm
Luke Trevils
Marth Howler
Zindo Talbot
Zindo Ash
Genevere Dred
Lulu Howler
Harley Hallewell
Crimson Sephiran
Kallee Wolf
Leeta Maleficum
Luna Vexx
Selena Barkridge
Diamanda Steros
Granger Villalobos
Jinx Hunt
Talon Wolf
Mist Malum
Weiss Onyx
Rain Mallor
Stone Craft
Jayde Howler
Pandora Cloven
Griffin Gnash
Eldritch Tombend
Zillah Carpathia
Almedha Lobo
Imeena Pickerin
Mirage Angelsin
Katia White
Morrin White
Thessalia Serphent
Jinx Ripper
Ophelia Talbot
Sabre Fang
